Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,3.745536,4.017857,3.631696,3.997768,2.695920,133949200
2000-01-04,3.866071,3.950893,3.613839,3.660714,2.468626,128094400
2000-01-05,3.705357,3.948661,3.678571,3.714286,2.504751,194580400
2000-01-06,3.790179,3.821429,3.392857,3.392857,2.287994,191993200
2000-01-07,3.446429,3.607143,3.410714,3.553571,2.396373,115183600
2000-01-10,3.642857,3.651786,3.383929,3.491071,2.354226,126266000
2000-01-11,3.426339,3.549107,3.232143,3.312500,2.233805,110387200
2000-01-12,3.392857,3.410714,3.089286,3.113839,2.099837,244017200
2000-01-13,3.374439,3.526786,3.303571,3.455357,2.330141,258171200
2000-01-14,3.571429,3.651786,3.549107,3.587054,2.418951,97594000
2000-01-18,3.607143,3.785714,3.587054,3.712054,2.503246,114794400
2000-01-19,3.772321,3.883929,3.691964,3.805804,2.566468,149410800
2000-01-20,4.125000,4.339286,4.053571,4.053571,2.733551,457783200
2000-01-21,4.080357,4.080357,3.935268,3.975446,2.680867,123981200
2000-01-24,3.872768,4.026786,3.754464,3.794643,2.558941,110219200
2000-01-25,3.750000,4.040179,3.656250,4.008929,2.703446,124286400
2000-01-26,3.928571,4.078125,3.919643,3.935268,2.653772,91789600
2000-01-27,3.886161,4.035714,3.821429,3.928571,2.649256,85036000
2000-01-28,3.863839,3.959821,3.593750,3.629464,2.447552,105837200
2000-01-31,3.607143,3.709821,3.375000,3.705357,2.498731,175420000
2000-02-01,3.714286,3.750000,3.571429,3.580357,2.414436,79508800
2000-02-02,3.598214,3.647321,3.464286,3.529018,2.379815,116048800
2000-02-03,3.582589,3.723214,3.580357,3.689732,2.488194,118798400
2000-02-04,3.712054,3.928571,3.700893,3.857143,2.601088,106330000
2000-02-07,3.857143,4.080357,3.783482,4.073661,2.747098,110266800
2000-02-08,4.071429,4.147321,3.973214,4.102679,2.766667,102160800
2000-02-09,4.075893,4.183036,4.015625,4.022321,2.712477,74841200
2000-02-10,4.031250,4.066964,3.928571,4.053571,2.733551,75745600
2000-02-11,4.058036,4.075893,3.866071,3.883929,2.619151,53062800
2000-02-14,3.904018,4.138393,3.879464,4.136161,2.789245,91884800
2000-02-15,4.116071,4.283482,4.113839,4.250000,2.866014,121436000
2000-02-16,4.205357,4.218750,4.004464,4.075893,2.748603,94561600
2000-02-17,4.113839,4.125000,4.040179,4.102679,2.766667,72374400
2000-02-18,4.093750,4.120536,3.959821,3.973214,2.679362,58360400
2000-02-22,3.933036,4.176339,3.810268,4.064732,2.741077,105574000
2000-02-23,4.044082,4.250000,3.964286,4.151786,2.799783,118274800
2000-02-24,4.189732,4.254464,3.991071,4.114397,2.774569,94108000
2000-02-25,4.100446,4.178571,3.933036,3.941964,2.658288,62286000
2000-02-28,3.933036,4.107143,3.870536,4.044643,2.727530,82082000
2000-02-29,4.055804,4.187500,4.020089,4.093750,2.760645,92240400
2000-03-01,4.234375,4.716518,4.232143,4.654018,3.138466,269250800
2000-03-02,4.535714,4.569196,4.310268,4.357143,2.938266,77814800
2000-03-03,4.459821,4.579796,4.285714,4.571429,3.082771,80841600
2000-03-06,4.500000,4.611607,4.464286,4.488839,3.027076,52640000
2000-03-07,4.515625,4.551339,4.325893,4.388393,2.959339,68252800
2000-03-08,4.388393,4.426339,4.234375,4.357143,2.938266,67807600
2000-03-09,4.316964,4.464286,4.223214,4.366071,2.944287,69179600
2000-03-10,4.345982,4.569196,4.321429,4.491071,3.028581,62151600
2000-03-13,4.361607,4.517857,4.267857,4.332589,2.921708,75989200
2000-03-14,4.329239,4.437500,4.071429,4.080357,2.751614,107144800
2000-03-15,4.129464,4.294643,4.075893,4.151786,2.799783,110902400
2000-03-16,4.189732,4.357143,4.089286,4.341518,2.927730,94525200
2000-03-17,4.290179,4.464286,4.272321,4.464286,3.010519,76260800
2000-03-20,4.410714,4.508929,4.370536,4.392857,2.962350,51122400
2000-03-21,4.377232,4.883929,4.343750,4.819196,3.249855,131082000
2000-03-22,4.742186,5.156250,4.698661,5.149554,3.472634,141999200
2000-03-23,5.071429,5.370536,5.000000,5.046875,3.403392,140641200
2000-03-24,5.087054,5.140625,4.839286,4.953125,3.340170,111728400
2000-03-27,4.915179,5.169643,4.888393,4.984375,3.361244,69795600
2000-03-28,4.901786,5.071429,4.897321,4.968750,3.350707,50741600
2000-03-29,4.977679,4.979911,4.779575,4.854911,3.273939,59959200
2000-03-30,4.770089,4.917411,4.479911,4.491071,3.028581,103600000
2000-03-31,4.551339,4.901786,4.500000,4.850446,3.270928,101158400
2000-04-03,4.839286,4.982143,4.622768,4.761161,3.210718,82140800
2000-04-04,4.736607,4.750000,4.169643,4.546875,3.066213,165082400
2000-04-05,4.516739,4.745536,4.428571,4.656250,3.139971,114416400
2000-04-06,4.665179,4.803571,4.401786,4.470982,3.015034,64906800
2000-04-07,4.544643,4.709821,4.482143,4.705357,3.173086,60608800
2000-04-10,4.703125,4.741071,4.455357,4.464286,3.010519,53065600
2000-04-11,4.410714,4.459821,4.216518,4.265625,2.876550,135455600
2000-04-12,4.250000,4.250000,3.745536,3.901786,2.631193,235284000
2000-04-13,3.982143,4.285714,3.875000,4.064732,2.741077,132456800
2000-04-14,3.904018,4.214286,3.892857,3.995536,2.694414,166905200
2000-04-17,3.910714,4.426339,3.895089,4.424107,2.983423,102390400
2000-04-18,4.410714,4.531250,4.263393,4.531250,3.055676,97731200
2000-04-19,4.506696,4.651786,4.276786,4.325893,2.917192,130037600
2000-04-20,4.417411,4.455357,4.180804,4.245536,2.863003,180530000
2000-04-24,4.107143,4.303571,4.098214,4.303571,2.902139,110905200
2000-04-25,4.361607,4.598214,4.359375,4.582589,3.090297,97910400
2000-04-26,4.522321,4.571429,4.285714,4.332589,2.921708,91728000
2000-04-27,4.185268,4.535714,4.163504,4.526786,3.052666,81650800
2000-04-28,4.540179,4.553571,4.332589,4.430804,2.987939,62395200
2000-05-01,4.459821,4.468750,4.352679,4.439732,2.993961,56548800
2000-05-02,4.401786,4.508929,4.196429,4.209821,2.838918,59108000
2000-05-03,4.247768,4.330357,3.986607,4.109375,2.771183,122449600
2000-05-04,4.111607,4.116071,3.948661,3.953125,2.665814,99878800
2000-05-05,3.957589,4.098214,3.954239,4.040179,2.724520,71019200
2000-05-08,4.003346,4.060268,3.928571,3.933036,2.652266,46225200
2000-05-09,3.939732,3.973214,3.745536,3.765625,2.539372,81785200
2000-05-10,3.716518,3.750000,3.526786,3.546875,2.391857,133772800
2000-05-11,3.620536,3.723214,3.535714,3.671875,2.476151,124936000
2000-05-12,3.785714,3.946429,3.741629,3.843750,2.592056,76728400
2000-05-15,3.859375,3.859375,3.575893,3.607143,2.432499,169733200
2000-05-16,3.732700,3.895089,3.669643,3.774554,2.545393,110112800
2000-05-17,3.700893,3.703125,3.584821,3.620536,2.441531,99523200
2000-05-18,3.678571,3.747768,3.593750,3.598214,2.426478,93444400
2000-05-19,3.544643,3.544643,3.334821,3.357143,2.263910,185166800
2000-05-22,3.348214,3.348214,3.071429,3.212054,2.166068,188876800
2000-05-23,3.232143,3.334821,3.058036,3.064732,2.066721,129396400
2000-05-24,3.078125,3.205357,2.964286,3.131696,2.111879,169615600
2000-05-25,3.160714,3.309150,3.071429,3.116629,2.101718,101687600
